Name,Oracle,Trigger 1,Trigger 2,Trigger 3,Trigger 4,Trigger 5
Æther Adept,"When Æther Adept enters the battlefield, return target creature to its owner's hand.",Mandatory,,,,
Æther Barrier,"Whenever a player casts a creature spell, that player sacrifices a permanent unless he or she pays 1.",Mandatory,,,,
Æther Burst,"Return up to X target creatures to their owners' hands, where X is one plus the number of cards named Æther Burst in all graveyards as you cast Æther Burst.",,,,,
Æther Charge,"Whenever a Beast enters the battlefield under your control, you may have it deal 4 damage to target opponent.",Optional,,,,
Æther Figment,"Kicker 3.    Æther Figment is unblockable.    If Æther Figment was kicked, it enters the battlefield with two +1/+1 counters on it.",,,,,
Æther Flash,"Whenever a creature enters the battlefield, Æther Flash deals 2 damage to it.",No visual effect,,,,
Æther Membrane,"Defender, reach.    Whenever Æther Membrane blocks a creature, return that creature to its owner's hand at end of combat.",No visual effect,Mandatory,,,
Æther Mutation,"Return target creature to its owner's hand.  Put X 1/1 green Saproling creature tokens onto the battlefield, where X is that creature's converted mana cost.",,,,,
Æther Rift,"At the beginning of your upkeep, discard a card at random.  If you discard a creature card this way, return it from your graveyard to the battlefield unless any player pays 5 life.",Mandatory,,,,
Æther Shockwave,Choose one - Tap all Spirits; or tap all non-Spirit creatures.,,,,,
Æther Snap,Remove all counters from all permanents and exile all tokens.,,,,,
Æther Spellbomb,"U, Sacrifice Æther Spellbomb: Return target creature to its owner's hand.    1, Sacrifice Æther Spellbomb: Draw a card.",,,,,
Æther Sting,"Whenever an opponent casts a creature spell, Æther Sting deals 1 damage to that player.",Lapsing,,,,
Æther Storm,Creature spells can't be cast.    Pay 4 life: Destroy Æther Storm.  It can't be regenerated.  Any player may activate this ability.,,,,,
Æther Tide,"As an additional cost to cast Æther Tide, discard X creature cards.    Return X target creatures to their owner's hands.",,,,,
Æther Tradewinds,Return target permanent you control and target permanent you don't control to their owner's hands.,,,,,
Æther Vial,"At the beginning of your upkeep, you may put a charge counter on Æther Vial.    T: You may put a creature card with converted mana cost equal to the number of charge counters on Æther Vial from your hand onto the battlefield.",Optional,,,,
Æther Web,"Flash, enchant creature.    Enchanted creature gets +1/+1, has reach, and can block creatures with shadow as though they didn't have shadow.",,,,,
Ætherflame Wall,Defender.    Ætherflame Wall can block creatures with shadow as though they didn't have shadow.    R: Ætherflame Wall gets +1/+0 until end of turn.,,,,,
Æthermage's Touch,"Reveal the top four cards of your library.  You may put a creature card from among them onto the battlefield.  It has ""At the beginning of your end step, return this creature to its owner's hand.""  Then put the rest of the cards revealed this way on the bottom of your library in any order.",Mandatory,,,,
Ætherplasm,"Whenever Ætherplasm blocks a creature, you may Ætherplasm to its owner's hand.  If you do, you may put a creature card from your hand onto the battlefield blocking that creature.",Optional,,,,
Æthersnipe,"When Æthersnipe enters the battlefield, return target nonland permanent to its owner's hand.    Evoke 1UU",Lapsing,Mandatory,,,
Æthertow,Put target attacking or blocking creature on top of its owner's library.    Conspire,Optional,,,,
Affa Guard Hound,"Flash.    When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.",Lapsing,,,,
Afflict,Target creature gets -1/-1 until end of turn.    Draw a card.,,,,,
Afflicted Deserter,"At the beginning of each upkeep, if no spells were cast last turn, transform Afflicted Deserter // [Werewolf Ransacker] [Creature - Werewolf] Whenever this creature transforms into Werewolf Ransacker, you may destroy target artifact.  If that artifact is put into a graveyard this way, Werewolf Ransacker deals 3 damage to that artifact's controller.    At the beginning of each upkeep, if a player cast two or more spells last turn, transform Werewolf Ransacker. [5/4]",Mandatory,Optional,Mandatory,,
Afiya Grove,"Afiya Grove enters the battlefield with three +1/+1 counters on it.    At the beginning of your upkeep, move a +1/+1 counter from Afiya Grove onto target creature.    When Afiya Grove has no +1/+1 counters on it, sacrifice it.",Lapsing,Lapsing,,,
Afterlife,Destroy target creature.  It can't be regenerated.  Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.,,,,,
Aftershock,"Destroy target artifact, creature, or land.  Aftershock deals 3 damage to you.",,,,,
Agadeem Occultist,T: Put target creature card from an opponent's graveyard onto the battlefield under your control if its converted mana cost is less than or equal to the number of Allies you control.,,,,,
Ageless Entity,"Whenever you gain life, put that many +1/+1 counters on Ageless Entity.",Lapsing,,,,
Ageless Sentinels,"Defender, flying.    When Ageless Sentinels blocks, it becomes a Bird Giant, and it loses defender.",No visual effect,,,,
Agent of Masks,"At the beginning of your upkeep, each opponent loses 1 life.  You gain life equal to the life lost this way.",Lapsing,,,,
Agent of Shauku,"1B, Sacrifice a land: Target creature gets +2/+0 until end of turn.",,,,,
Agent of Stromgald,R: Add B to your mana pool.,,,,,
Aggravate,Aggravate deals 1 damage to each creature target player controls.  Each creature dealt damage this way attacks this turn if able.,,,,,
Aggravated Assault,"3RR: Untap all creatures you control.  After this main phase, there is an additional combat phase followed by an additional main phase.  Activate this ability only any time you could cast a sorcery.",,,,,
Aggression,"Enchant non-Wall creature.    Enchanted creature has first strike and trample.    At the beginning of the end step of enchanted creature's controller, destroy that creature if it didn't attack this turn.",,,,,
Aggressive Urge,Target creature gets +1/+1 until end of turn.    Draw a card.,,,,,
Agility,Enchant creature.    Enchanted creature gets +1/+1 and has flanking.,No visual effect,,,,
Agonizing Demise,"Kicker 1R.    Destroy target nonblack creature.  It can't be regenerated.  If Agonizing Demise was kicked, it deals damage equal to that creature's power to that creature's controller.",,,,,
Agonizing Memories,Look at target player's hand and choose two cards from it.  Put them on top of that player's library in any order.,,,,,
Agony Warp,Target creature gets -3/-0 until end of turn.    Target creature gets -0/-3 until end of turn.,,,,,
"Agrus Kos, Wojek Veteran","Whenever Agrus Kos, Wojek Veteran attacks, attacking red creatures get +2/+0 and attacking white creatures get +0/+2 until end of turn.",No visual effect,,,,
Air Bladder,Enchant creature.    Enchanted creature has flying.    Enchanted creature can block only creatures with flying.,,,,,
Air Elemental,Flying,,,,,
Air Servant,Flying.    2U: Tap target creature with flying.,,,,,
Airborne Aid,Draw a card for each Bird on the battlefield.,,,,,
Airdrop Condor,"Flying.    1R, Sacrifice a Goblin creature: Airdrop Condor deals damage equal to the sacrificed creature's power to target creature or player.",,,,,
Aisling Leprechaun,"Whenever Aisling Leprechaun blocks or becomes blocked by a creature, that creature becomes green.",No visual effect,,,,
Ajani Goldmane,"+1: You gain 2 life.    -1: Put a +1/+1 counter on each creature you control.  Those creatures gain vigilance until end of turn.    -6: Put a white Avatar creature token onto the battlefield.  It has ""This creature's power and toughness are each equal to ",,,,,
Ajani Vengeant,+1: Target permanent doesn't untap during its controller's next untap step.    -2: Ajani Vengeant deals 3 damage to target creature or player and you gain 3 life.    -7: Destroy all lands target player controls.,,,,,
Ajani's Mantra,"At the beginning of your upkeep, you may gain 1 life.",Optional,,,,
Ajani's Pridemate,"Whenever you gain life, you may put a +1/+1 counter on Ajani's Pridemate.",Optional,,,,
Akki Avalanchers,Sacrifice a land: Akki Avalanchers gets +2/+0 until end of turn.  Activate this ability only once each turn.,,,,,
Akki Blizzard-Herder,"When Akki Blizzard-Herder dies, each player sacrifices a land.",Mandatory,,,,
Akki Coalflinger,"First strike.    R, T: Attacking creatures gain first strike until end of turn.",,,,,
Akki Drillmaster,T: Target creature gains haste until end of turn.,,,,,
Akki Lavarunner,"Haste.    Whenever Akki Lavarunner deals damage to an opponent, flip it. // [Tok-Tok, Volcano Born] [Legendary Creature - Goblin Shaman] Protection from red.    If a red source would deal damage to a player, it deals that much damage plus 1 to that player instead. [2/2]",Mandatory,,,,
Akki Raider,"Whenever a land is put into a graveyard from the battlefield, Akki Raider gets +1/+0 until end of turn.",No visual effect,,,,
Akki Rockspeaker,"When Akki Rockspeaker enters the battlefield, add R to your mana pool.",No visual effect,,,,
Akki Underling,"As long as you have seven or more cards in hand, Akki Underling gets +2/+1 and has first strike.",,,,,
Akki Underminer,"Whenever Akki Underminer deals combat damage to a player, that player sacrifices a permanent.",Lapsing,,,,
Akoum Battlesinger,"Haste.    Whenever Akoum Battlesinger or another Ally enters the battlefield under your control, you may have Ally creatures you control get +1/+0 until end of turn.",Optional,,,,
Akoum Boulderfoot,"When Akoum Boulderfoot enters the battlefield, it deals 1 damage to target creature or player.",Lapsing,,,,
Akoum Refuge,"Akoum Refuge enters the battlefield tapped.    When Akoum Refuge enters the battlefield, you gain 1 life.    T: Add B or R to your mana pool.",Lapsing,,,,
Akrasan Squire,Exalted,No visual effect,,,,
"Akroma, Angel of Fury","Akroma, Angel of Fury can't be countered.    Flying, trample, protection from white and from blue.    R: Akroma, Angel of Fury gets +1/+0 until end of turn.    Morph 3RRR.",,,,,
"Akroma, Angel of Wrath","Flying, first strike, vigilance, trample, haste, protection from black and from red.",,,,,
Akroma's Blessing,Choose a color.  Creatures you control gain protection from the chosen color until end of turn.    Cycling W,,,,,
Akroma's Devoted,Cleric creatures have vigilance.,,,,,
Akroma's Memorial,"Creatures you control have flying, first strike, vigilance, trample, haste, and protection from black and from red.",,,,,
Akroma's Vengeance,"Destroy all artifacts, creatures, and enchantments.    Cycling 3.",,,,,
Akron Legionnaire,"Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.",,,,,
Aku Djinn,Trample.    At the beginning of your upkeepm put a +1/+1 counter on each creature each opponent controls.,Mandatory,,,,
"Akuta, Born of Ash","Haste.    At the beginning of your upkeep, if you have more cards in hand than each opponent, you may sacrifice a Swamp.  If you do, return Akuta, Born of Ash from your graveyard to the battlefield.",Optional,,,,
Al-abara's Carpet,"5, T: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.",,,,,
Alabaster Dragon,"Flying.    When Alabaster Dragon dies, shuffle Alabaster Dragon into its owner's library.",Mandatory,,,,
Alabaster Leech,White spells you cast cost W more to cast.,,,,,
Alabaster Mage,1W: Target creature gains lifelink until end of turn.,,,,,
Alabaster Potion,Choose one - Target player gains X life; or prevent the next X damage that would be dealt to target creature or player this turn.,,,,,
Alabaster Wall,Defender.    T: Prevent the next 1 damage that would be dealt to target creature or player this turn.,,,,,
Alaborn Cavalier,"Whenever Alaborn Cavalier attacks, you may tap target creature.",Optional,,,,
Alaborn Grenadier,Vigilance,,,,,
Alaborn Musketeer,Reach,,,,,
Alaborn Trooper,,,,,,
Alaborn Veteran,"T: Target creature gets +2/+2 until end of turn.  Activate this ability only during your turn, before attackers are declared.",,,,,
Alaborn Zealot,"When Alaborn Zealot blocks a creature, destroy that creature and Alaborn Zealot.",Mandatory,,,,
Aladdin,"1RR, T: Gain control of target artifact for as long as you control Aladdin.",,,,,
Aladdin's Lamp,"X, T: The next time you would draw a card this turn, instead look at the top X cards of your library, put all but one of them on the bottom of your library in a random order, then draw a card.  X can't be 0.",,,,,
Aladdin's Ring,"8, T: Aladdin's Ring deals 4 damage to target creature or player.",,,,,
Alarum,Untap target nonattacking creature.  It gets +1/+3 until end of turn.,,,,,
Albino Troll,Echo 1G.    1G: Regenerate Albino Troll.,Mandatory,,,,
Alchemist's Apprentice,Sacrifice Alchemist's Apprentice: Draw a card.,,,,,
Alchemist's Refuge,"T: Add 1 to your mana pool.    GU, T: You may cast nonland cards this turn as though they had flash.",,,,,
Alchor's Tomb,"2, T: Target permanent you control becomes the color of your choice.",,,,,
Aleatory,"Cast Aleatory only during combat after blockers are declared.    Flip a coin.  If you win the flip, target creature gets +1/+1 until end of turn.    Draw a card at the beginning of the next turn's upkeep.",,,,,
Alert Shu Infantry,Vigilance,,,,,
"Alexi, Zephyr Mage","XU, T, Discard two cards: Return X target creatures to their owners' hands.",,,,,
Alexi's Cloak,"Flash, enchant creature.    Enchanted creature has shroud.",,,,,
Algae Gharial,"Shroud.    Whenever another creature dies, you may put a +1/+1 counter on Algae Gharial.",Optional,,,,
Ali Baba,R: Tap target Wall.,,,,,
Ali from Cairo,Damage that would reduce your life total to less than 1 reduces it to 1 instead.,,,,,
Aliban's Tower,Target blocking creature gets +3/+1 until end of turn.,,,,,
All Hallow's Eve,"Exile All Hallow's Eve with two scream counters on it.    At the beginning of your upkeep, if All Hallow's Eve is exiled with a scream counter on it, remove a scream counter from it.  If there are no more scream counters on it, put it into your graveyard and each player returns all creature cards from his or her graveyard to the battlefield.",Mandatory,,,,
All is Dust,Each player sacrifices all colored permanents he or she controls.,,,,,
All Suns' Dawn,"For each color, return up to one target card of that color from your graveyard to your hand.  Exile All Suns' Dawn.",,,,,
Allay,Buyback 3.    Destroy target enchantment.,,,,,
Alley Grifters,"Whenever Alley Grifters becomes blocked, defending player discards a card.",Lapsing,,,,
Alliance of Arms,"Join forces - Starting with you, each player may pay any amount of mana.  Each player puts X 1/1 white Soldier creature tokens onto the battlefield, where X is the total amount of mana paid this way.",,,,,
Allied Strategies,Domain - Target player draws a card for each basic land type among lands he or she controls.,,,,,
Allosaurus Rider,You may exile two green cards from your hand rather than pay Allosaurus Rider's mana cost.    Allosaurus Rider's power and toughness are each equal to 1 plus the number of lands you control.,,,,,
Alloy Golem,"As Alloy Golem enters the battlefield, choose a color.    Alloy Golem is the chosen color.",,,,,
Alloy Myr,T: Add one mana of any color to your mana pool.,,,,,
Alluring Scent,All creatures able to block target creature this turn do so.,,,,,
Alluring Siren,T: Target creature an opponent controls attacks you this turn if able.,,,,,
Alms,"1, Exile the top card of your graveyard: Prevent the next 1 damage that would be dealt to target creature this turn.",,,,,
Alpha Brawl,"Target creature an opponent controls deals damage equal to its power to each other creature that player controls, then each of those creatures deals damage equal to its power to that creature.",,,,,
Alpha Kavu,1G: Target Kavu creature gets -1/+1 until end of turn.,,,,,
Alpha Myr,,,,,,
Alpha Status,Enchant creature.    Enchanted creature gets +2/+2 for each creature on the battlefield that shares a creature type with it.,,,,,
Alpha Tyrranax,,,,,,
Altar Golem,Trample.    Altar Golem's power and toughness are each equal to the number of creatures on the battlefield.    Altar Golem doesn't untap during your untap step.    Tap five untapped creatures you control: Untap Altar Golem.,,,,,
Altar of Bone,"As an additional cost to cast Altar of Bone, sacrifice a creature.    Search your library for a creature card, reveal that card, and put it into your hand.  Then shuffle your library.",,,,,
Altar of Dementia,Sacrifice a creature: Target players puts a number of cards equal to the sacrificed creature's power from the top of his or her library into his or her graveyard.,,,,,
Altar of Shadows,"At the beginning of your precombat main phase, add B to your mana pool for each charge counter on Altar of Shadows.    7, T: Destroy target creature.  Put a charge counter on Altar of Shadows.",No visual effect,,,,
Altar of the Lost,Altar of the Lost enters the battlefield tapped.    T: Add two mana in any combination of colors to your mana pool.  Spend this mana only to cast spells with flashback from a graveyard.,,,,,
Altar's Light,Exile target artifact or enchantment.,,,,,
Altar's Reap,"As an additional cost to cast Altar's Reap, sacrifice a creature.    Draw two cards.",,,,,
Alter Reality,Change the text of target spell or permanent by replacing all instances of one color word with another.    Flashback 1U.,,,,,
Aluren,Any player may play creature cards with converted mana cost 3 or less without paying their mana cost and as though they had flash.,,,,,
Amass the Components,"Draw three cards, then put a card from your hand on the bottom of your library.",,,,,
Ambassador Laquatus,3: Target player puts the top three cards of his or her library into his or her graveyard.,,,,,
Ambassador Oak,"When Ambassador Oak enters the battlefield, put a 1/1 green Elf Warrior creature token onto the battlefield.",Lapsing,,,,
Amber Prison,"You may choose not to untap Amber Prison during your untap step.    4, T: Tap target artifact, creature, or land.  That permanent doesn't untap during its controller's untap step for as long as Amber Prison remains tapped.",,,,,
Ambition's Cost,You draw three cards and you lose 3 life.,,,,,
Ambush,Blocking creatures gain first strike until end of turn.,,,,,
Ambush Commander,"Forests you control are 1/1 green Elf creatures that are still lands.    1G, Sacrifice an Elf: Target creature gets +3/+3 until end of turn.",,,,,
Ambush Party,"First strike, haste",,,,,
Ambush Viper,"Flash, deathtouch",,,,,
Amnesia,Target player reveals his or her hand and discards all nonland cards.,,,,,
Amoeboid Changeling,Changeling.    T: Target creature gains all creature types until end of turn.    T: Target creature loses all creature types until end of turn.,,,,,
Amok,"1, Discard a card at random: Put a +1/+1 counter on target creature.",,,,,
Amphibious Kavu,"Whenever Amphibious Kavu blocks or becomes blocked by one or more blue and/or black creatures, Amphibious Kavu gets +3/+3 until end of turn.",No visual effect,,,,
Amphin Cutthroat,,,,,,
Amrou Kithkin,Amrou Kithkin can't be blocked by creatures with power 3 or greater.,,,,,
Amrou Scout,"4, T: Search your library for a Rebel permanent card with converted mana cost 3 or less and put it onto the battlefield.  Then shuffle your library.",,,,,
Amrou Seekers,Amrou Seekers can't be blocked except by artifact creatures and/or white creatures.,,,,,
Amugaba,"Flying.    2U, Discard a card: Return Amugaba to its owner's hand.",,,,,
Amulet of Kroog,"2, T: Prevent the next 1 damage that would be dealt to target creature or player this turn.",,,,,
Amulet of Quoz,"Remove Amulet of Quoz from your deck before playing if you're not playing for ante.    T, Sacrifice Amulet of Quoz: Target opponent may add the top card of his or her library to the ante.  If he or she doesn't, you flip a coin.  If you win the flip, that player loses the game.  If you lose the flip, you lose the game.  Activate this ability only during your upkeep.",,,,,
Amulet of Unmaking,"5, T, Exile Amulet of Unmaking: Exile target artifact, creature, or land.  Activate this ability only any time you could cast a sorcery.",,,,,
Amulet of Vigor,"Whenever a permanent enters the battlefield tapped and under your control, untap it.",Lapsing,,,,
Ana Battlemage,"Kicker 2U and/or 1B.    When Ana Battlemage enters the battlefield, if it was kicked with its 2U kicker, target player discards three cards.    When Ana Battlemage enters the battlefield, if it was kicked with its 1B kicker, tap target untapped creature and that creature deals damage equal to its power to its controller.",Lapsing,Lapsing,,,
Ana Disciple,"U, T: Target creature gains flying until end of turn.    B, T: Target creature gets -2/-0 until end of turn.",,,,,
Ana Sanctuary,"At the beginning of your upkeep, if you control a blue or black permanent, target creature gets +1/+1 until end of turn.  If you control a blue permanent and a black permanent, that creature gets +5/+5 until end of turn instead.",Lapsing,,,,
Anaba Ancestor,T: Another target Minotaur creature gets +1/+1 until end of turn.,,,,,
Anaba Bodyguard,First strike,,,,,
Anaba Shaman,"R, T: Anaba Shaman deals 1 damage to target creature or player.",,,,,
Anaba Spirit Crafter,Minotaur creatures get +1/+0.,,,,,
Anaconda,Swampwalk,,,,,
Anarchist,"When Anarchist enters the battlefield, you may return target sorcery card from your graveyard to your hand.",Optional,,,,
Anarchy,Destroy all white permanents.,,,,,
Anathemancer,"When Anathemancer enters the battlefield, it deals damage to target player equal to the number of nonbasic lands that player controls.    Unearth 5BR.",Lapsing,Mandatory,,,
Anavolver,"Kicker 1U and/or B.    If Anavolver was kicked with its 1U kicker, it enters the battlefield with two +1/+1 counters on it and has flying.    If Anavolver was kicked with its B kicker, it enters the battlefield with a +1/+1 counter on it and with ""Pay 3 life: Regenerate Anavolver.""",,,,,
